"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","MDSF","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WESD","WESF","WT01","WT03","WT04","WT05","WT06","WT11"
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-10-15",,,,"0.00","0.0","0.0",,,,,,,,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-10-16",,,,"0.00","0.0","0.0",,,,,,,,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-10-17",,,,"0.00","0.0","0.0",,,,,,,,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-10-18",,,,"0.00","0.0","0.0",,,,,,,,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-10-19",,,,"0.00","0.0","0.0",,,,,,,,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-10-20",,,,"0.00","0.0","0.0",,,,,,,,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-10-21",,,,"0.00","0.0","0.0",,,,,,,,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-10-22",,,,"0.00","0.0","0.0",,,,,,,,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-10-23",,,,"0.00","0.0","0.0",,,,,,,,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-10-24",,,,"0.00","0.0","0.0",,,,,,,,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-10-25",,,,"0.00","0.0","0.0",,,,,,,,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-10-26",,,,"0.00","0.0","0.0",,,,,,,,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-10-27",,,,"0.00","0.0","0.0",,,,,,,,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-10-28",,,,"0.00","0.0","0.0",,,,,,,,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-10-29",,,,"0.17","1.9",,,,,,,,,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-10-30",,,,"0.37","5.1",,,,,,,,,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-10-31",,,,"0.01","0.2","4.5",,,,,,,,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-11-01",,,,,,,,,,,"0.0",,,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-11-06",,,,"0.00","0.0",,,,,,,,,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-11-07",,,,"0.00","0.0",,,,,,,,,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-11-08",,,,"0.00","0.0",,,,,,,,,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-11-09",,,,"0.00","0.0",,,,,,,"0.0",,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-11-10",,,,"0.00","0.0",,,,,,,"0.0",,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-11-11",,,,"0.04","0.4",,,,,,,,,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-11-12",,,,"0.00","0.0",,,,,,,,,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-11-13",,,,"0.00","0.0",,,,,,,,,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-11-14",,,,"0.04","1.3","1.0",,,,,,,,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-11-15",,,,"0.00","0.0","1.0",,,,,,,,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-11-16",,,,"0.20","2.3","2.0",,,,,,"0.2",,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-11-17",,,,"0.00","0.0","0.0",,,,,,,,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-11-18",,,,"0.00","0.0","0.0",,,,,,,,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-11-19",,,,"0.00","0.0","0.0",,,,,,,,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-11-20",,,,"0.00","0.0","0.0",,,,,,,,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-11-21",,,,"0.00","0.0","0.0",,,,,,,,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-11-22",,,,"0.00","0.0","0.0",,,,,,,,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-11-23",,,,"0.00","0.0","0.0",,,,,,,,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-11-24",,,,"0.01","0.3","0.0",,,,,,,,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-11-25",,,,"0.11","3.0","2.0",,,,,,,,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-11-26",,,,"0.00","0.0","1.5",,,,,,,,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-11-27",,,,"0.00","0.0",,,,,,,,,,,,,
"US1COJF0101","CONIFER 2.9 E, CO US","39.2519","-105.2498","2156.2","2002-11-28",,,,"0.00","0.0",,,,,,,,,,,,,
